Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,TotalGoals,prob_H_norm,prob_D_norm,prob_A_norm
2020-11-29,2020-21,Celta,Granada,3,1,H,17,9,8,2,8,0,4,3,1,0,2.0,3.5,3.75,4,0.4751131221719457,0.27149321266968324,0.25339366515837103
2020-11-29,2020-21,Sociedad,Villarreal,1,1,D,8,10,4,2,4,4,5,3,0,0,2.1,3.6,3.4,2,0.45434298440979953,0.2650334075723831,0.2806236080178174
2020-11-29,2020-21,Getafe,Ath Bilbao,1,1,D,11,5,3,2,3,2,2,4,0,0,2.8,2.9,2.8,2,0.33720930232558133,0.3255813953488372,0.33720930232558133
2020-11-29,2020-21,Barcelona,Osasuna,4,0,H,20,10,11,5,5,3,1,0,0,0,1.25,6.0,11.0,4,0.7564469914040115,0.15759312320916904,0.08595988538681948
2020-11-30,2020-21,Betis,Eibar,0,2,A,7,11,3,6,6,2,2,1,0,0,1.75,3.75,4.5,2,0.5389221556886228,0.251497005988024,0.20958083832335334
2020-12-04,2020-21,Ath Bilbao,Celta,0,2,A,10,6,0,4,4,5,2,1,0,0,2.05,3.25,3.8,2,0.46077791250816164,0.290644529428225,0.24857755806361348
2020-12-05,2020-21,Levante,Getafe,3,0,H,12,9,8,0,5,5,2,7,0,2,2.9,3.1,2.55,3,0.32544256895841916,0.30444627418690823,0.3701111568546728
2020-12-05,2020-21,Sevilla,Real Madrid,0,1,A,12,10,2,3,4,3,1,3,0,0,2.5,3.5,2.7,1,0.3787575150300601,0.2705410821643286,0.3507014028056112
2020-12-05,2020-21,Ath Madrid,Valladolid,2,0,H,15,13,4,3,4,4,4,2,0,0,1.4,4.33,9.5,2,0.6799510719539813,0.21984561217911633,0.1002033158669025
2020-12-05,2020-21,Cadiz,Barcelona,2,1,H,7,21,3,8,5,13,0,2,0,0,8.5,5.0,1.36,3,0.11173184357541902,0.18994413407821234,0.6983240223463688
2020-12-06,2020-21,Granada,Huesca,3,3,D,15,16,6,7,4,2,2,0,0,0,2.3,3.1,3.4,6,0.41349548842683403,0.3067869752844252,0.27971753628874063
2020-12-06,2020-21,Osasuna,Betis,0,2,A,10,12,0,5,2,5,3,2,0,0,2.62,3.3,2.7,2,0.36175395858708886,0.28721071863581,0.3510353227771011
2020-12-06,2020-21,Villarreal,Elche,0,0,D,12,3,3,0,4,0,3,2,0,0,1.3,5.5,9.5,0,0.7282229965156793,0.17212543554006968,0.09965156794425085
2020-12-06,2020-21,Alaves,Sociedad,0,0,D,5,13,1,5,2,3,1,0,1,0,4.75,3.5,1.8,0,0.20015885623510724,0.27164416203335984,0.5281969817315331
2020-12-07,2020-21,Eibar,Valencia,0,0,D,19,6,3,4,8,0,3,2,0,0,2.45,3.1,3.1,0,0.3875,0.30625,0.30625
2020-12-11,2020-21,Valladolid,Osasuna,3,2,H,11,13,6,6,3,3,4,5,0,0,2.5,3.1,3.0,5,0.3788187372708758,0.3054989816700611,0.3156822810590631
2020-12-12,2020-21,Real Madrid,Ath Madrid,2,0,H,11,5,3,1,3,6,1,3,0,0,2.3,3.3,3.1,2,0.41002004008016035,0.28577154308617236,0.30420841683366734
2020-12-12,2020-21,Huesca,Alaves,1,0,H,11,3,3,1,5,2,1,4,0,0,2.2,3.2,3.5,1,0.4317656129529684,0.2968388589051658,0.27139552814186585
