Date,Season,League,HomeTeam,AwayTeam,FTHG,FTAG,FTR,diff_avg_points,diff_avg_goals_scored,diff_avg_goals_conceded,diff_table_position,diff_days_rest,home_attack_vs_away_defense,away_attack_vs_home_defense,home_avg_goals_scored,home_avg_goals_conceded,home_win_rate,home_clean_sheet_rate,home_table_position,away_avg_goals_scored,away_avg_goals_conceded,away_win_rate,away_clean_sheet_rate,away_table_position,home_matchday,league_Bundesliga,league_La Liga,league_Ligue 1,league_Premier League,league_Serie A,B365H,B365D,B365A
2024-01-13,2023-24,Bundesliga,Augsburg,Leverkusen,0,1,A,-1.2000000000000002,-1.5999999999999999,1.2000000000000002,10.0,0.0,0.4,0.7999999999999998,0.8,1.6,0.2,0.0,11.0,2.4,0.4,0.6,0.6,1.0,17,True,False,False,False,False,5.25,4.75,1.5
2024-01-27,2023-24,Bundesliga,Augsburg,Bayern Munich,2,3,A,-1.5999999999999999,-1.2000000000000002,1.2000000000000002,8.0,3.0,0.19999999999999996,0.19999999999999996,0.6,1.6,0.2,0.0,10.0,1.8,0.4,0.8,0.6,2.0,19,True,False,False,False,False,8.5,5.75,1.3
2024-02-10,2023-24,Bundesliga,Augsburg,RB Leipzig,2,2,D,0.0,-0.3999999999999999,-0.19999999999999996,7.0,1.0,-1.0,-0.40000000000000013,1.0,1.8,0.2,0.0,12.0,1.4,2.0,0.2,0.2,5.0,21,True,False,False,False,False,4.0,4.2,1.75
2024-02-25,2023-24,Bundesliga,Augsburg,Freiburg,2,1,H,0.19999999999999996,-0.20000000000000018,-1.1999999999999997,7.0,1.0,-1.4,0.0,1.4,1.6,0.2,0.0,15.0,1.6,2.8,0.2,0.0,8.0,23,True,False,False,False,False,2.2,3.6,3.1
2024-03-09,2023-24,Bundesliga,Augsburg,Heidenheim,1,0,H,0.6000000000000001,1.0000000000000002,-0.3999999999999999,-1.0,0.0,0.8000000000000003,0.19999999999999996,2.2,1.0,0.4,0.2,10.0,1.2,1.4,0.2,0.2,11.0,25,True,False,False,False,False,1.85,4.2,3.5
2024-03-31,2023-24,Bundesliga,Augsburg,FC Koln,1,1,D,2.0,1.4,-1.7999999999999998,-9.0,-1.0,0.0,0.4,2.4,0.6,0.8,0.4,8.0,1.0,2.4,0.0,0.0,17.0,27,True,False,False,False,False,1.75,4.0,4.5
2024-04-12,2023-24,Bundesliga,Augsburg,Union Berlin,2,0,H,1.2,2.0,-0.19999999999999996,-6.0,-1.0,1.2,-0.6,2.4,1.0,0.6,0.4,7.0,0.4,1.2,0.2,0.2,13.0,29,True,False,False,False,False,2.1,3.4,3.4
2024-04-27,2023-24,Bundesliga,Augsburg,Werder Bremen,0,3,A,0.5999999999999999,0.8,-0.6000000000000001,-3.0,2.0,-0.6000000000000001,-0.8,1.6,1.6,0.4,0.2,8.0,0.8,2.2,0.2,0.0,11.0,31,True,False,False,False,False,1.8,4.0,4.0
2024-05-10,2023-24,Bundesliga,Augsburg,Stuttgart,0,1,A,-1.4,-1.0,1.7999999999999998,6.0,0.0,0.0,-0.7999999999999998,1.0,2.8,0.2,0.2,9.0,2.0,1.0,0.6,0.4,3.0,33,True,False,False,False,False,4.0,4.2,1.75
2024-08-24,2024-25,Bundesliga,Augsburg,Werder Bremen,2,2,D,-2.2,-1.7999999999999998,1.7999999999999998,-11.0,0.0,-0.4,-0.3999999999999999,0.6,2.8,0.0,0.0,2.0,2.4,1.0,0.6,0.2,13.0,1,True,False,False,False,False,2.2,3.6,3.1
